Date,Open,High,Low,Close
2022/2/7,172.860001,173.949997,170.949997,171.660004
2022/2/8,171.729996,175.350006,171.429993,174.830002
2022/2/9,176.050003,176.649994,174.899994,176.279999
2022/2/10,174.139999,175.479996,171.550003,172.119995
2022/2/11,172.330002,173.080002,168.039993,168.639999
2022/2/14,167.369995,169.580002,166.559998,168.880005
2022/2/15,170.970001,172.949997,170.25,172.789993
2022/2/16,171.850006,173.339996,170.050003,172.550003
2022/2/17,171.029999,171.910004,168.470001,168.880005
2022/2/18,169.820007,170.539993,166.190002,167.300003
2022/2/22,164.979996,166.690002,162.149994,164.320007
2022/2/23,165.539993,166.149994,159.75,160.070007
2022/2/24,152.580002,162.850006,152,162.740005
2022/2/25,163.839996,165.119995,160.869995,164.850006
2022/2/28,163.059998,165.419998,162.429993,165.119995
2022/3/1,164.699997,166.600006,161.970001,163.199997
2022/3/2,164.389999,167.360001,162.949997,166.559998
2022/3/3,168.470001,168.910004,165.550003,166.229996
2022/3/4,164.490005,165.550003,162.100006,163.169998
2022/3/7,163.360001,165.020004,159.039993,159.300003
2022/3/8,158.820007,162.880005,155.800003,157.440002
2022/3/9,161.479996,163.410004,159.410004,162.949997
2022/3/10,160.199997,160.389999,155.979996,158.520004
2022/3/11,158.929993,159.279999,154.5,154.729996
2022/3/14,151.449997,154.119995,150.100006,150.619995
2022/3/15,150.899994,155.570007,150.380005,155.089996
2022/3/16,157.050003,160,154.460007,159.589996
2022/3/17,158.610001,161,157.630005,160.619995
2022/3/18,160.509995,164.479996,159.759995,163.979996
2022/3/21,163.509995,166.350006,163.009995,165.380005
2022/3/22,165.509995,169.419998,164.910004,168.820007
2022/3/23,167.990005,172.639999,167.649994,170.210007
2022/3/24,171.059998,174.139999,170.210007,174.070007
2022/3/25,173.880005,175.279999,172.75,174.720001
2022/3/28,172.169998,175.729996,172,175.600006
2022/3/29,176.690002,179.009995,176.339996,178.960007
2022/3/30,178.550003,179.610001,176.699997,177.770004
2022/3/31,177.839996,178.029999,174.399994,174.610001
2022/4/1,174.029999,174.880005,171.940002,174.309998
2022/4/4,174.570007,178.490005,174.440002,178.440002
2022/4/5,177.5,178.300003,174.419998,175.059998
2022/4/6,172.360001,173.630005,170.130005,171.830002
2022/4/7,171.160004,173.360001,169.850006,172.139999
2022/4/8,171.779999,171.779999,169.199997,170.089996
2022/4/11,168.710007,169.029999,165.5,165.75
2022/4/12,168.020004,169.869995,166.639999,167.660004
2022/4/13,167.389999,171.039993,166.770004,170.399994
2022/4/14,170.619995,171.270004,165.039993,165.289993
2022/4/18,163.919998,166.600006,163.570007,165.070007
2022/4/19,165.020004,167.820007,163.910004,167.399994
2022/4/20,168.759995,168.880005,166.100006,167.229996
2022/4/21,168.910004,171.529999,165.910004,166.419998
2022/4/22,166.460007,167.869995,161.5,161.789993
2022/4/25,161.119995,163.169998,158.460007,162.880005
2022/4/26,162.25,162.339996,156.720001,156.800003
2022/4/27,155.910004,159.789993,155.380005,156.570007
2022/4/28,159.25,164.520004,158.929993,163.639999
2022/4/29,161.839996,166.199997,157.25,157.649994
2022/5/2,156.710007,158.229996,153.270004,157.960007
2022/5/3,158.149994,160.710007,156.320007,159.479996
2022/5/4,159.669998,166.479996,159.259995,166.020004
2022/5/5,163.850006,164.080002,154.949997,156.770004
2022/5/6,156.009995,159.440002,154.179993,157.279999
2022/5/9,154.929993,155.830002,151.490005,152.059998
2022/5/10,155.520004,156.740005,152.929993,154.509995
2022/5/11,153.5,155.449997,145.809998,146.5
2022/5/12,142.770004,146.199997,138.800003,142.559998
2022/5/13,144.589996,148.100006,143.110001,147.110001
2022/5/16,145.550003,147.520004,144.179993,145.539993
2022/5/17,148.860001,149.770004,146.679993,149.240005
2022/5/18,146.850006,147.360001,139.899994,140.820007
2022/5/19,139.880005,141.660004,136.600006,137.350006
2022/5/20,139.089996,140.699997,132.610001,137.589996
2022/5/23,137.789993,143.259995,137.649994,143.110001
2022/5/24,140.809998,141.970001,137.330002,140.360001
2022/5/25,138.429993,141.789993,138.339996,140.520004
2022/5/26,137.389999,144.339996,137.139999,143.779999
2022/5/27,145.389999,149.679993,145.259995,149.639999
2022/5/31,149.070007,150.660004,146.839996,148.839996
2022/6/1,149.899994,151.740005,147.679993,148.710007
2022/6/2,147.830002,151.270004,146.860001,151.210007
2022/6/3,146.899994,147.970001,144.460007,145.380005
2022/6/6,147.029999,148.570007,144.899994,146.139999
2022/6/7,144.350006,149,144.100006,148.710007
2022/6/8,148.580002,149.869995,147.460007,147.960007
2022/6/9,147.080002,147.949997,142.529999,142.639999
2022/6/10,140.279999,140.759995,137.059998,137.130005
2022/6/13,132.869995,135.199997,131.440002,131.880005
2022/6/14,133.130005,133.889999,131.479996,132.759995
2022/6/15,134.289993,137.339996,132.160004,135.429993
2022/6/16,132.080002,132.389999,129.039993,130.059998
2022/6/17,130.070007,133.080002,129.809998,131.559998
2022/6/21,133.419998,137.059998,133.320007,135.869995
2022/6/22,134.789993,137.759995,133.910004,135.350006
2022/6/23,136.820007,138.589996,135.630005,138.270004
2022/6/24,139.899994,141.910004,139.770004,141.660004
2022/6/27,142.699997,143.490005,140.970001,141.660004
2022/6/28,142.130005,143.419998,137.320007,137.440002
2022/6/29,137.460007,140.669998,136.669998,139.229996
2022/6/30,137.25,138.369995,133.770004,136.720001
2022/7/1,136.039993,139.039993,135.660004,138.929993
2022/7/5,137.770004,141.610001,136.929993,141.559998
2022/7/6,141.350006,144.119995,141.080002,142.919998
2022/7/7,143.289993,146.550003,143.279999,146.350006
2022/7/8,145.259995,147.550003,145,147.039993
2022/7/11,145.669998,146.639999,143.779999,144.869995
2022/7/12,145.759995,148.449997,145.050003,145.860001
2022/7/13,142.990005,146.449997,142.119995,145.490005
2022/7/14,144.080002,148.949997,143.25,148.470001
2022/7/15,149.779999,150.860001,148.199997,150.169998
2022/7/18,150.740005,151.570007,146.699997,147.070007
2022/7/19,147.919998,151.229996,146.910004,151
2022/7/20,151.119995,153.720001,150.369995,153.039993
2022/7/21,154.5,155.570007,151.940002,155.350006
2022/7/22,155.389999,156.279999,153.410004,154.089996
2022/7/25,154.009995,155.039993,152.279999,152.949997
2022/7/26,152.259995,153.089996,150.800003,151.600006
2022/7/27,152.580002,157.330002,152.160004,156.789993
2022/7/28,156.979996,157.639999,154.410004,157.350006
2022/7/29,161.240005,163.630005,159.5,162.509995
2022/8/1,161.009995,163.589996,160.889999,161.509995
2022/8/2,160.100006,162.410004,159.630005,160.009995
2022/8/3,160.839996,166.589996,160.75,166.130005
2022/8/4,166.009995,167.190002,164.429993,165.809998
2022/8/5,163.210007,165.850006,163,165.350006
2022/8/8,166.369995,167.809998,164.199997,164.869995
2022/8/9,164.020004,165.820007,163.25,164.919998
2022/8/10,167.679993,169.339996,166.899994,169.240005
2022/8/11,170.059998,170.990005,168.190002,168.490005
2022/8/12,169.820007,172.169998,169.399994,172.100006
2022/8/15,171.520004,173.389999,171.350006,173.190002
2022/8/16,172.779999,173.710007,171.660004,173.029999
2022/8/17,172.770004,176.149994,172.570007,174.550003
2022/8/18,173.75,174.899994,173.119995,174.149994
2022/8/19,173.029999,173.740005,171.309998,171.520004
2022/8/22,169.690002,169.860001,167.139999,167.570007
2022/8/23,167.080002,168.710007,166.649994,167.229996
2022/8/24,167.320007,168.110001,166.25,167.529999
2022/8/25,168.779999,170.139999,168.350006,170.029999
2022/8/26,170.570007,171.050003,163.559998,163.619995
2022/8/29,161.149994,162.899994,159.820007,161.380005
2022/8/30,162.130005,162.559998,157.720001,158.910004
2022/8/31,160.309998,160.580002,157.139999,157.220001
2022/9/1,156.639999,158.419998,154.669998,157.960007
2022/9/2,159.75,160.360001,154.970001,155.809998
2022/9/6,156.470001,157.089996,153.690002,154.529999
2022/9/7,154.820007,156.669998,153.610001,155.960007
